t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1779611395.9130352,-0.010471975511965978,0.0,0.0,0.46749890678419537,0.0,0.0,0.1584,1.2276,0.5544000000000001,0.029400067830425536,0.0,0.0,-0.006981317007977318,0.0,0.0,0.45711004218899104,0.0,0.0
1779611395.922942,-0.006981317007977318,0.0,0.0,0.45711004218899104,0.0,0.0,-0.1188,1.3464,0.35639999999999994,0.03391745080847188,0.0,0.0,-0.0017453292519943296,0.0,0.0,0.41555458380817367,0.0,0.0
1779611395.932929,-0.0017453292519943296,0.0,0.0,0.41555458380817367,0.0,0.0,1.1880000000000002,1.1483999999999999,0.7127999999999999,0.038270626820714956,0.0,0.0,0.0017453292519943296,0.0,0.0,0.4612655880270728,0.0,0.0
1779611395.9429243,0.0017453292519943296,0.0,0.0,0.4612655880270728,0.0,0.0,0.3168,1.4652,0.6336,0.042574671967282846,0.0,0.0,0.005235987755982989,0.0,0.0,0.4758099984603589,0.0,0.0
1779611395.9529474,0.005235987755982989,0.0,0.0,0.4758099984603589,0.0,0.0,0.0396,1.1880000000000002,0.5148,0.046787810170060166,0.0,0.0,0.010471975511965978,0.0,0.0,0.45503226926995016,0.0,0.0
1779611395.9629397,0.010471975511965978,0.0,0.0,0.45503226926995016,0.0,0.0,0.5940000000000001,1.2276,0.5940000000000001,0.05090848168375246,0.0,0.0,0.013962634015954637,0.0,0.0,0.45503226926995016,-0.0020777729190408684,-0.0020777729190408684
1779611395.972942,0.013962634015954637,0.0,0.0,0.45503226926995016,-0.0020777729190408684,-0.0020777729190408684,0.5940000000000001,1.3464,0.6336,0.0549034875306966,0.0,0.0,0.019198621771937627,0.0,0.0,0.4654211338651545,-0.0020777729190408684,0.0
1779611395.9833937,0.019198621771937627,0.0,0.0,0.4654211338651545,-0.0020777729190408684,0.0,0.2376,1.2276,0.5148,0.05878059761060678,0.0,0.0,0.024434609527920613,0.0,0.0,0.45711004218899104,0.0,-0.0020777729190408684
1779611395.992947,0.024434609527920613,0.0,0.0,0.45711004218899104,0.0,-0.0020777729190408684,0.1584,1.1483999999999999,-0.4752,0.06269218779141898,0.0,0.0,0.027925268031909273,0.0,0.0,0.4404878588366641,0.0,0.0
1779611396.0029657,0.027925268031909273,0.0,0.0,0.4404878588366641,0.0,0.0,0.396,1.1483999999999999,0.6336,0.06613487102379788,0.0,0.0,0.03316125578789226,0.0,0.0,0.4363323129985824,0.0,0.0
1779611396.012931,0.03316125578789226,0.0,0.0,0.4363323129985824,0.0,0.0,0.4752,1.2672,0.396,0.06960109651677487,0.0,0.0,0.03665191429188092,0.0,0.0,0.4404878588366641,0.0,0.0
1779611396.0229356,0.03665191429188092,0.0,0.0,0.4404878588366641,0.0,0.0,0.0,1.4255999999999998,0.4356,0.07289506609217657,0.0,0.0,0.04188790204786391,0.0,0.0,0.4197101296462554,0.0,0.0
1779611396.0329115,0.04188790204786391,0.0,0.0,0.4197101296462554,0.0,0.0,0.27720000000000006,1.2276,0.5148,0.0760402755049006,0.0,0.0,0.04537856055185257,0.0,0.0,0.4010101733748876,0.0,0.0020777729190408684
1779611396.0429482,0.04537856055185257,0.0,0.0,0.4010101733748876,0.0,0.0020777729190408684,0.5940000000000001,1.3464,0.5940000000000001,0.07900823993715136,0.0,0.0,0.048869219055841226,0.0,0.0,0.4197101296462554,0.0,0.0
1779611396.052942,0.048869219055841226,0.0,0.0,0.4197101296462554,0.0,0.0,-0.1188,1.4255999999999998,0.396,0.08181810616104157,0.0,0.0,0.054105206811824215,0.0,0.0,0.3864657629416015,0.0,0.0
1779611396.0630739,0.054105206811824215,0.0,0.0,0.3864657629416015,0.0,0.0,0.396,1.1880000000000002,0.4752,0.08443414584782542,0.0,0.0,0.05759586531581287,0.0,0.0,0.3739991254273563,0.0,0.0
1779611396.0729454,0.05759586531581287,0.0,0.0,0.3739991254273563,0.0,0.0,0.4356,1.3068,0.5940000000000001,0.08689516563071553,0.0,0.0,0.061086523819801536,0.0,0.0,0.37815467126543806,0.0,0.0
1779611396.0829403,0.061086523819801536,0.0,0.0,0.37815467126543806,0.0,0.0,-0.0396,1.4255999999999998,0.396,0.08910250899147759,0.0,0.0,0.06457718232379019,0.0,0.0,0.33244366704653894,0.0,0.0
