t,q_0,q_1,q_2,dq_0,dq_1,dq_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777275422.225331,-0.15009831567151233,0.07155849933176751,0.04363323129985824,-0.016622183352326948,0.0,-0.0020777729190408684,-0.1514485950413389,0.07236710804850179,0.04554676402899735,-0.15009831567151233,0.07155849933176751,0.04363323129985824,0.0,-0.0020777729190408684,0.0
1777275422.2353284,-0.15009831567151233,0.07155849933176751,0.04363323129985824,0.0,-0.0020777729190408684,0.0,-0.1514485950413389,0.07236710804850179,0.04554676402899735,-0.15009831567151233,0.07155849933176751,0.04363323129985824,0.0,0.0,0.0
1777275422.245322,-0.15009831567151233,0.07155849933176751,0.04363323129985824,0.0,0.0,0.0,-0.1514485950413389,0.07236710804850179,0.04554676402899735,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0
1777275422.255415,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0,-0.1514485950413389,0.07236710804850179,0.04554676402899735,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0
1777275422.2653139,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0,-0.06636533734180185,0.11266096943037696,-0.12317451115626324,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0020777729190408684
1777275422.2755256,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0020777729190408684,0.0020777729190408684,-0.06636533734180185,0.11266096943037696,-0.12317451115626324,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.2854338,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.06636533734180185,0.11266096943037696,-0.12317451115626324,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.295429,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.15716099871781225,-0.05735084311504758,0.00202696843660486,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.305544,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3155172,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3255892,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3355176,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.345419,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3554482,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.365406,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.375515,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3855278,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.3966973,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.061767187368631016,0.04759786477255494,-0.041705956653123585,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.406032,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.415324,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4253678,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.435413,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4454494,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4553776,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4653537,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4753206,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.485352,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.4953547,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.5053313,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.5154407,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.5252793,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.5353847,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0
1777275422.5453928,-0.15009831567151233,0.07155849933176751,0.04537856055185257,0.0,0.0,0.0,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.555425,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.5654202,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.575418,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.5853899,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.05843291529599501,-0.09314479455045659,0.14668204319041864,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.5954366,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.605429,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.6154184,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.6254365,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.6354012,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.645367,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.655762,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.665422,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483
1777275422.6753843,-0.061086523819801536,-0.07155849933176751,0.11344640137963143,0.04363323129985824,-0.5215210026792579,0.7853981633974483,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.03665191429188092,-0.11519173063162574,0.06632251157578452,0.5007432734888493,-0.4363323129985824,-2.0424507794171736
1777275422.685525,-0.03665191429188092,-0.11519173063162574,0.06632251157578452,0.5007432734888493,-0.4363323129985824,-2.0424507794171736,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.03665191429188092,-0.11519173063162574,0.06632251157578452,0.5007432734888493,-0.4363323129985824,-2.0424507794171736
1777275422.6953082,-0.03665191429188092,-0.11519173063162574,0.06632251157578452,0.5007432734888493,-0.4363323129985824,-2.0424507794171736,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277
1777275422.7055523,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277
1777275422.715583,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277
1777275422.72574,-0.027925268031909273,-0.12217304763960307,0.03316125578789226,0.39685462753680584,-0.34283253164174327,-1.5978073747424277,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.019198621771937627,-0.12915436464758037,0.0,0.2514105232039451,-0.2036217460660051,-0.9994087740586577
1777275422.7353156,-0.019198621771937627,-0.12915436464758037,0.0,0.2514105232039451,-0.2036217460660051,-0.9994087740586577,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.015707963267948967,-0.13264502315156904,-0.013962634015954637,0.15583296892806514,-0.1246663751424521,-0.6981317007977318
1777275422.7453122,-0.015707963267948967,-0.13264502315156904,-0.013962634015954637,0.15583296892806514,-0.1246663751424521,-0.6981317007977318,-0.01128486149993029,-0.13802200361318062,-0.04362862065575687,-0.015707963267948967,-0.13264502315156904,-0.020943951023931956,0.12882192098053383,-0.08934423551875734,-0.5755430985743205
